Medidor	Localizacao	Tipo de Fluido	Data	Horario	Indice	Indice antigo	Consumo	Unid._levant.	Bateria	Ha desmontagem/corte	Houve desmontagem/corte	Ha vazamento	Ha fraude magnetica	Houve fraude magnetica	Ha medidor bloqueado	Retorno de agua excedido
103.69952485115755	34.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
9.341000000000008	34.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
52.92182690187421	41.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.896000000000015	41.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
74.68110165380399	42.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
5.638000000000034	42.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
132.14557464167652	43.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
6.086000000000013	43.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
46.49852533627338	44.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.16700000000003	44.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
21.023366085997473	51.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
0.7139999999999986	51.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
29.74524657111357	52.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
1.86099999999999	52.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
90.58944824696806	53.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
6.927999999999997	53.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
59.5086637265707	54.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.984999999999957	54.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
89.14488679162083	61.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
7.11099999999999	61.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
107.09742412348412	62.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
8.528999999999996	62.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
96.55848520396927	63.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
4.112000000000023	63.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
38.17639770672526	64.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.1079999999999757	64.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
41.928623373760246	71.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
3.1760000000000446	71.0	Água Fria	21/10/2024	17:47:17	0	0	0	l	-	0	0	0	0	0	0	0
